C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/29;dataset/DogsIT/29;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/30;dataset/DogsIT/30;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/31;dataset/DogsIT/31;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/32;dataset/DogsIT/32;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/33;dataset/DogsIT/33;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/34;dataset/DogsIT/34;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/35;dataset/DogsIT/35;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/36;dataset/DogsIT/36;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/37;dataset/DogsIT/37;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/38;dataset/DogsIT/38;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/39;dataset/DogsIT/39;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/40;dataset/DogsIT/40;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/41;dataset/DogsIT/41;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/42;dataset/DogsIT/42;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/43;dataset/DogsIT/43;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/44;dataset/DogsIT/44;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/45;dataset/DogsIT/45;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/46;dataset/DogsIT/46;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/47;dataset/DogsIT/47;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/48;dataset/DogsIT/48;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/49;dataset/DogsIT/49;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/50;dataset/DogsIT/50;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/51;dataset/DogsIT/51;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/52;dataset/DogsIT/52;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/53;dataset/DogsIT/53;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/54;dataset/DogsIT/54;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/55;dataset/DogsIT/55;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/56;dataset/DogsIT/56;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/57;dataset/DogsIT/57;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/58;dataset/DogsIT/58;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/59;dataset/DogsIT/59;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/60;dataset/DogsIT/60;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/61;dataset/DogsIT/61;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/62;dataset/DogsIT/62;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/63;dataset/DogsIT/63;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/64;dataset/DogsIT/64;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/65;dataset/DogsIT/65;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/66;dataset/DogsIT/66;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/67;dataset/DogsIT/67;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/68;dataset/DogsIT/68;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/69;dataset/DogsIT/69;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/70;dataset/DogsIT/70;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/71;dataset/DogsIT/71;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/72;dataset/DogsIT/72;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/73;dataset/DogsIT/73;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/74;dataset/DogsIT/74;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/75;dataset/DogsIT/75;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/76;dataset/DogsIT/76;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/77;dataset/DogsIT/77;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/78;dataset/DogsIT/78;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/79;dataset/DogsIT/79;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/80;dataset/DogsIT/80;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/81;dataset/DogsIT/81;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/82;dataset/DogsIT/82;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/83;dataset/DogsIT/83;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/84;dataset/DogsIT/84;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/85;dataset/DogsIT/85;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/86;dataset/DogsIT/86;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/87;dataset/DogsIT/87;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/88;dataset/DogsIT/88;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/89;dataset/DogsIT/89;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/90;dataset/DogsIT/90;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/91;dataset/DogsIT/91;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/92;dataset/DogsIT/92;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/93;dataset/DogsIT/93;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/94;dataset/DogsIT/94;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/95;dataset/DogsIT/95;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/96;dataset/DogsIT/96;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/97;dataset/DogsIT/97;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/98;dataset/DogsIT/98;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/99;dataset/DogsIT/99;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/100;dataset/DogsIT/100;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/101;dataset/DogsIT/101;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/102;dataset/DogsIT/102;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/103;dataset/DogsIT/103;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/104;dataset/DogsIT/104;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/105;dataset/DogsIT/105;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/106;dataset/DogsIT/106;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/107;dataset/DogsIT/107;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/108;dataset/DogsIT/108;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/109;dataset/DogsIT/109;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/110;dataset/DogsIT/110;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/111;dataset/DogsIT/111;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/112;dataset/DogsIT/112;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/113;dataset/DogsIT/113;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/114;dataset/DogsIT/114;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/115;dataset/DogsIT/115;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/116;dataset/DogsIT/116;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/117;dataset/DogsIT/117;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/118;dataset/DogsIT/118;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/119;dataset/DogsIT/119;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/120;dataset/DogsIT/120;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/121;dataset/DogsIT/121;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/122;dataset/DogsIT/122;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/123;dataset/DogsIT/123;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/124;dataset/DogsIT/124;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/125;dataset/DogsIT/125;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/126;dataset/DogsIT/126;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/127;dataset/DogsIT/127;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/128;dataset/DogsIT/128;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/129;dataset/DogsIT/129;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/130;dataset/DogsIT/130;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/131;dataset/DogsIT/131;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/132;dataset/DogsIT/132;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/133;dataset/DogsIT/133;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/134;dataset/DogsIT/134;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/135;dataset/DogsIT/135;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/136;dataset/DogsIT/136;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/137;dataset/DogsIT/137;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/138;dataset/DogsIT/138;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/139;dataset/DogsIT/139;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/140;dataset/DogsIT/140;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/141;dataset/DogsIT/141;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/142;dataset/DogsIT/142;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/143;dataset/DogsIT/143;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/144;dataset/DogsIT/144;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/145;dataset/DogsIT/145;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/146;dataset/DogsIT/146;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/147;dataset/DogsIT/147;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/148;dataset/DogsIT/148;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/149;dataset/DogsIT/149;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/150;dataset/DogsIT/150;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/151;dataset/DogsIT/151;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/152;dataset/DogsIT/152;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/153;dataset/DogsIT/153;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/154;dataset/DogsIT/154;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/155;dataset/DogsIT/155;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/156;dataset/DogsIT/156;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/157;dataset/DogsIT/157;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/158;dataset/DogsIT/158;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/159;dataset/DogsIT/159;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/160;dataset/DogsIT/160;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/161;dataset/DogsIT/161;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/162;dataset/DogsIT/162;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/163;dataset/DogsIT/163;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/164;dataset/DogsIT/164;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/165;dataset/DogsIT/165;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/166;dataset/DogsIT/166;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/167;dataset/DogsIT/167;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/168;dataset/DogsIT/168;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/169;dataset/DogsIT/169;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/170;dataset/DogsIT/170;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/171;dataset/DogsIT/171;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/172;dataset/DogsIT/172;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/173;dataset/DogsIT/173;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/174;dataset/DogsIT/174;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/175;dataset/DogsIT/175;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/176;dataset/DogsIT/176;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/177;dataset/DogsIT/177;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/178;dataset/DogsIT/178;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/179;dataset/DogsIT/179;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/180;dataset/DogsIT/180;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/181;dataset/DogsIT/181;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/182;dataset/DogsIT/182;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/183;dataset/DogsIT/183;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/184;dataset/DogsIT/184;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/185;dataset/DogsIT/185;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/186;dataset/DogsIT/186;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/187;dataset/DogsIT/187;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/188;dataset/DogsIT/188;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/189;dataset/DogsIT/189;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/190;dataset/DogsIT/190;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/191;dataset/DogsIT/191;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/192;dataset/DogsIT/192;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/193;dataset/DogsIT/193;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/194;dataset/DogsIT/194;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/195;dataset/DogsIT/195;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/196;dataset/DogsIT/196;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/197;dataset/DogsIT/197;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/198;dataset/DogsIT/198;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/199;dataset/DogsIT/199;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/200;dataset/DogsIT/200;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/201;dataset/DogsIT/201;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/202;dataset/DogsIT/202;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/203;dataset/DogsIT/203;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/204;dataset/DogsIT/204;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/205;dataset/DogsIT/205;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/206;dataset/DogsIT/206;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/207;dataset/DogsIT/207;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/208;dataset/DogsIT/208;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/209;dataset/DogsIT/209;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/210;dataset/DogsIT/210;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/211;dataset/DogsIT/211;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/212;dataset/DogsIT/212;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/213;dataset/DogsIT/213;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/214;dataset/DogsIT/214;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/215;dataset/DogsIT/215;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/216;dataset/DogsIT/216;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/217;dataset/DogsIT/217;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/218;dataset/DogsIT/218;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/219;dataset/DogsIT/219;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/220;dataset/DogsIT/220;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/221;dataset/DogsIT/221;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/222;dataset/DogsIT/222;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/223;dataset/DogsIT/223;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/224;dataset/DogsIT/224;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/225;dataset/DogsIT/225;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/226;dataset/DogsIT/226;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/227;dataset/DogsIT/227;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/228;dataset/DogsIT/228;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/229;dataset/DogsIT/229;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/230;dataset/DogsIT/230;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/231;dataset/DogsIT/231;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/232;dataset/DogsIT/232;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/233;dataset/DogsIT/233;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/234;dataset/DogsIT/234;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/235;dataset/DogsIT/235;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/236;dataset/DogsIT/236;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/237;dataset/DogsIT/237;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/238;dataset/DogsIT/238;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/239;dataset/DogsIT/239;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/240;dataset/DogsIT/240;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/241;dataset/DogsIT/241;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/242;dataset/DogsIT/242;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/243;dataset/DogsIT/243;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/244;dataset/DogsIT/244;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/245;dataset/DogsIT/245;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/246;dataset/DogsIT/246;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/247;dataset/DogsIT/247;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/248;dataset/DogsIT/248;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/249;dataset/DogsIT/249;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/250;dataset/DogsIT/250;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/251;dataset/DogsIT/251;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/252;dataset/DogsIT/252;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/253;dataset/DogsIT/253;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/254;dataset/DogsIT/254;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/255;dataset/DogsIT/255;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/256;dataset/DogsIT/256;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/257;dataset/DogsIT/257;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/258;dataset/DogsIT/258;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/259;dataset/DogsIT/259;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/260;dataset/DogsIT/260;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/261;dataset/DogsIT/261;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/262;dataset/DogsIT/262;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/263;dataset/DogsIT/263;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/264;dataset/DogsIT/264;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/265;dataset/DogsIT/265;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/266;dataset/DogsIT/266;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/267;dataset/DogsIT/267;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/268;dataset/DogsIT/268;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/269;dataset/DogsIT/269;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/270;dataset/DogsIT/270;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/271;dataset/DogsIT/271;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/272;dataset/DogsIT/272;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/273;dataset/DogsIT/273;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/274;dataset/DogsIT/274;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/275;dataset/DogsIT/275;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/276;dataset/DogsIT/276;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/277;dataset/DogsIT/277;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/278;dataset/DogsIT/278;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/279;dataset/DogsIT/279;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/280;dataset/DogsIT/280;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/281;dataset/DogsIT/281;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/282;dataset/DogsIT/282;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/283;dataset/DogsIT/283;dog
C:/Users/79093/Desktop/Application progra/parser/dataset/DogsIT/284;dataset/DogsIT/284;dog
